year,country,country_iso2,region,region_trase_id,parent_region,parent_region_trase_id,oil_palm_planted_area_hectares
"2003","INDONESIA","ID","ACEH BARAT","ID-1107","ACEH","ID-11","28141.5734117686"
"2003","INDONESIA","ID","ACEH BARAT DAYA","ID-1112","ACEH","ID-11","26193.9903529523"
"2003","INDONESIA","ID","ACEH BESAR","ID-1108","ACEH","ID-11","2320.87764705881"
"2003","INDONESIA","ID","ACEH JAYA","ID-1116","ACEH","ID-11","1652.06258823515"
"2003","INDONESIA","ID","ACEH SELATAN","ID-1103","ACEH","ID-11","17047.3016470571"
"2003","INDONESIA","ID","ACEH SINGKIL","ID-1102","ACEH","ID-11","45621.0003529489"
"2003","INDONESIA","ID","ACEH TAMIANG","ID-1114","ACEH","ID-11","59141.3191764868"
"2003","INDONESIA","ID","ACEH TENGAH","ID-1106","ACEH","ID-11","3103.41352941184"
"2003","INDONESIA","ID","ACEH TENGGARA","ID-1104","ACEH","ID-11","32173.4632941333"
"2003","INDONESIA","ID","ACEH TIMUR","ID-1105","ACEH","ID-11","69509.1748235331"
"2003","INDONESIA","ID","ACEH UTARA","ID-1111","ACEH","ID-11","42170.8627058836"
"2003","INDONESIA","ID","AGAM","ID-1307","SUMATERA BARAT","ID-13","57779.5563529755"
"2003","INDONESIA","ID","ALOR","ID-5307","NUSA TENGGARA TIMUR","ID-53","0"
"2003","INDONESIA","ID","AMBON (KOTA)","ID-8171","MALUKU","ID-81","0"
"2003","INDONESIA","ID","ASAHAN","ID-1208","SUMATERA UTARA","ID-12","167887.265647106"
"2003","INDONESIA","ID","ASMAT","ID-9415","PAPUA","ID-94","0"
"2003","INDONESIA","ID","BADUNG","ID-5103","BALI","ID-51","0"
"2003","INDONESIA","ID","BALANGAN","ID-6311","KALIMANTAN SELATAN","ID-63","890.712705882386"
"2003","INDONESIA","ID","BALIKPAPAN (KOTA)","ID-6471","KALIMANTAN TIMUR","ID-64","403.383176470582"
"2003","INDONESIA","ID","BANDA ACEH (KOTA)","ID-1171","ACEH","ID-11","0"
"2003","INDONESIA","ID","BANDAR LAMPUNG (KOTA)","ID-1871","LAMPUNG","ID-18","0"
"2003","INDONESIA","ID","BANDUNG","ID-3204","JAWA BARAT","ID-32","0"
"2003","INDONESIA","ID","BANDUNG BARAT","ID-3217","JAWA BARAT","ID-32","0"
"2003","INDONESIA","ID","BANDUNG (KOTA)","ID-3273","JAWA BARAT","ID-32","0"
"2003","INDONESIA","ID","BANGGAI","ID-7202","SULAWESI TENGAH","ID-72","17238.9988235307"
"2003","INDONESIA","ID","BANGGAI KEPULAUAN","ID-7201","SULAWESI TENGAH","ID-72","0"
"2003","INDONESIA","ID","BANGGAI LAUT","ID-7211","SULAWESI TENGAH","ID-72","0"
"2003","INDONESIA","ID","BANGKA","ID-1901","KEP. BANGKA BELITUNG","ID-19","49464.784588246"
"2003","INDONESIA","ID","BANGKA BARAT","ID-1903","KEP. BANGKA BELITUNG","ID-19","37610.6932941377"
"2003","INDONESIA","ID","BANGKALAN","ID-3526","JAWA TIMUR","ID-35","0"
"2003","INDONESIA","ID","BANGKA SELATAN","ID-1905","KEP. BANGKA BELITUNG","ID-19","5189.03117647136"
"2003","INDONESIA","ID","BANGKA TENGAH","ID-1904","KEP. BANGKA BELITUNG","ID-19","24206.3110588231"
"2003","INDONESIA","ID","BANGLI","ID-5106","BALI","ID-51","0"
"2003","INDONESIA","ID","BANJAR","ID-6303","KALIMANTAN SELATAN","ID-63","4374.06388235298"
"2003","INDONESIA","ID","BANJARBARU (KOTA)","ID-6372","KALIMANTAN SELATAN","ID-63","5.85"
"2003","INDONESIA","ID","BANJAR (KOTA)","ID-3279","JAWA BARAT","ID-32","0"
"2003","INDONESIA","ID","BANJARMASIN (KOTA)","ID-6371","KALIMANTAN SELATAN","ID-63","0"
"2003","INDONESIA","ID","BANJARNEGARA","ID-3304","JAWA TENGAH","ID-33","0"
"2003","INDONESIA","ID","BANTAENG","ID-7303","SULAWESI SELATAN","ID-73","0"
"2003","INDONESIA","ID","BANTUL","ID-3402","D I YOGYAKARTA","ID-34","0"
"2003","INDONESIA","ID","BANYUASIN","ID-1607","SUMATERA SELATAN","ID-16","51242.9731764756"
"2003","INDONESIA","ID","BANYUMAS","ID-3302","JAWA TENGAH","ID-33","0"
"2003","INDONESIA","ID","BANYUWANGI","ID-3510","JAWA TIMUR","ID-35","0"
"2003","INDONESIA","ID","BARITO KUALA","ID-6304","KALIMANTAN SELATAN","ID-63","6512.90894117575"
"2003","INDONESIA","ID","BARITO SELATAN","ID-6204","KALIMANTAN TENGAH","ID-62","293.07035294118"
"2003","INDONESIA","ID","BARITO TIMUR","ID-6212","KALIMANTAN TENGAH","ID-62","4044.41682352894"
"2003","INDONESIA","ID","BARITO UTARA","ID-6205","KALIMANTAN TENGAH","ID-62","10234.2409411766"
"2003","INDONESIA","ID","BARRU","ID-7310","SULAWESI SELATAN","ID-73","0"
"2003","INDONESIA","ID","BATAM (KOTA)","ID-2171","KEP. RIAU","ID-21","0"
"2003","INDONESIA","ID","BATANG","ID-3325","JAWA TENGAH","ID-33","0"
"2003","INDONESIA","ID","BATANG HARI","ID-1504","JAMBI","ID-15","193457.173058916"
"2003","INDONESIA","ID","BATU BARA","ID-1219","SUMATERA UTARA","ID-12","22401.7372941165"
"2003","INDONESIA","ID","BAU-BAU (KOTA)","ID-7472","SULAWESI TENGGARA","ID-74","0"
"2003","INDONESIA","ID","BEKASI","ID-3216","JAWA BARAT","ID-32","0"
"2003","INDONESIA","ID","BEKASI (KOTA)","ID-3275","JAWA BARAT","ID-32","0"
"2003","INDONESIA","ID","BELITUNG","ID-1902","KEP. BANGKA BELITUNG","ID-19","22297.5091764792"
"2003","INDONESIA","ID","BELITUNG TIMUR","ID-1906","KEP. BANGKA BELITUNG","ID-19","27933.8968235596"
"2003","INDONESIA","ID","BELU","ID-5306","NUSA TENGGARA TIMUR","ID-53","0"
"2003","INDONESIA","ID","BENER MERIAH","ID-1117","ACEH","ID-11","2.88"
"2003","INDONESIA","ID","BENGKALIS","ID-1408","RIAU","ID-14","70824.5167059106"
"2003","INDONESIA","ID","BENGKAYANG","ID-6102","KALIMANTAN BARAT","ID-61","14666.0392941189"
"2003","INDONESIA","ID","BENGKULU (KOTA)","ID-1771","BENGKULU","ID-17","300.752470588242"
"2003","INDONESIA","ID","BENGKULU SELATAN","ID-1701","BENGKULU","ID-17","17115.6924705896"
"2003","INDONESIA","ID","BENGKULU TENGAH","ID-1709","BENGKULU","ID-17","17930.3396470602"
"2003","INDONESIA","ID","BENGKULU UTARA","ID-1703","BENGKULU","ID-17","71234.0569411922"
"2003","INDONESIA","ID","BERAU","ID-6405","KALIMANTAN TIMUR","ID-64","5340.5809411765"
"2003","INDONESIA","ID","BIAK NUMFOR","ID-9409","PAPUA","ID-94","0"
"2003","INDONESIA","ID","BIMA","ID-5206","NUSA TENGGARA BARAT","ID-52","0"
"2003","INDONESIA","ID","BINJAI (KOTA)","ID-1276","SUMATERA UTARA","ID-12","85.1308235294124"
"2003","INDONESIA","ID","BINTAN","ID-2102","KEP. RIAU","ID-21","1615.08670588244"
"2003","INDONESIA","ID","BIREUEN","ID-1110","ACEH","ID-11","8399.56658823461"
"2003","INDONESIA","ID","BITUNG (KOTA)","ID-7172","SULAWESI UTARA","ID-71","0"
"2003","INDONESIA","ID","BLITAR","ID-3505","JAWA TIMUR","ID-35","0"
"2003","INDONESIA","ID","BLORA","ID-3316","JAWA TENGAH","ID-33","0"
"2003","INDONESIA","ID","BOALEMO","ID-7501","GORONTALO","ID-75","1351.35670588234"
"2003","INDONESIA","ID","BOGOR","ID-3201","JAWA BARAT","ID-32","1554.57388235294"
"2003","INDONESIA","ID","BOGOR (KOTA)","ID-3271","JAWA BARAT","ID-32","0"
"2003","INDONESIA","ID","BOJONEGORO","ID-3522","JAWA TIMUR","ID-35","0"
"2003","INDONESIA","ID","BOLAANG MONGONDOW","ID-7101","SULAWESI UTARA","ID-71","0"
"2003","INDONESIA","ID","BOLAANG MONGONDOW SELATAN","ID-7110","SULAWESI UTARA","ID-71","0"
"2003","INDONESIA","ID","BOLAANG MONGONDOW TIMUR","ID-7111","SULAWESI UTARA","ID-71","0"
"2003","INDONESIA","ID","BOLAANG MONGONDOW UTARA","ID-7107","SULAWESI UTARA","ID-71","110.700000000003"
"2003","INDONESIA","ID","BOMBANA","ID-7406","SULAWESI TENGGARA","ID-74","105.570000000001"
"2003","INDONESIA","ID","BONDOWOSO","ID-3511","JAWA TIMUR","ID-35","0"
"2003","INDONESIA","ID","BONE","ID-7311","SULAWESI SELATAN","ID-73","23.67"
"2003","INDONESIA","ID","BONE BOLANGO","ID-7504","GORONTALO","ID-75","0"
